nombre;tipo;detalle_tipo_rotacion;tema;fecha_edicion;fecha_inicio;fecha_fin;anio;mes;dia_inicio;dia_fin;fecha_texto;sitioWeb;categoria;frecuencia;agrupacion;provincia;entidadOrganizadora;sedeRaw;localidad;sedeOriginalLLM;sedeRaw_corregida;sedeMatchScore;sedeRequiereRevision;entidadOriginalLLM;matchScore;requiereRevision
¡Apurate! Últimos días para inscribirse a las carreras de Cerámica en la UNCuyo;Otro tipo de evento;Nacional - Regional (Cuyo);Arte y diseño;2025-09-25;2025-09-01;2025-09-30;2025;septiembre;1;30;del 1 al 30 de septiembre de 2025;https://www.elsol.com.ar/educacion/apurate-ultimos-dias-para-inscribirse-a-las-carreras-de-ceramica-en-la-uncuyo/;Académico;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Universidad Nacional de Cuyo (UNCuyo);edificio de talleres del campus universitario, ubicado en la Ciudad de Mendoza;Desconocido;UNCuyo, Facultad de Artes y Diseño, edificio de talleres del campus universitario en la Ciudad de Mendoza.;NO_MATCH;86.0;Sí;Universidad Nacional de Cuyo (UNCuyo);100.0;No
Mendociencia;Feria;Provincial;Ciencias naturales y exactas;2025-10-01;2025-10-02;2025-10-04;2025;octubre;2;4;del 2 al 4 de octubre;https://www.uncuyo.edu.ar/prensa/vuelve-mendociencia-la-muestra-interactiva-para-aprender-experimentando;Académico;Anual;FERIAS Y EXPOSICIONES;Mendoza;Facultad de Ciencias Exactas y Naturales;Facultad de Ciencias Exactas y Naturales (FCEN) de la Universidad Nacional de Cuyo (UNCUYO) – Padre Jorge Contreras 1300, Ciudad;Desconocido;Padre Jorge Contreras 1300, Ciudad;NO_MATCH;54.0;Sí;Facultad de Ciencias Exactas y Naturales;100.0;No
Escuelas de la UNCUYO: dónde le toca a cada estudiante la jornada presencial obligatoria y los exámenes;Jornada;Provincial;Educación;2025-09-23;2025-09-27;2025-10-11;2025;septiembre;27;11;27 de septiembre al 11 de octubre;https://www.uncuyo.edu.ar/academica/escuelas-de-la-uncuyo-donde-le-toca-a-cada-estudiante-la-jornada-presencial-obligatoria-y-los-examenes;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad Nacional de Cuyo (UNCuyo);Escuelas de Mendoza (Liceo Agrícola, DAD, Magisterio, Martín Zapata y CUC). Escuela de Agricultura de General Alvear.;Desconocido;M5502JMA.;NO_MATCH;45.0;Sí;Universidad Nacional de Cuyo (UNCUYO);100.0;No
Jornada de Transición Energética en la FCE-UNCuyo: empresas, energía y sostenibilidad;Jornada;Nacional - Regional (Cuyo);Energía;2025-09-22;2025-10-01;2025-10-01;2025;octubre;1;1;miércoles 1 de octubre de 2025;https://www.elsol.com.ar/educacion/jornada-de-transicion-energetica-en-la-fce-uncuyo-empresas-energia-y-sostenibilidad/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad Nacional de Cuyo (UNCuyo);Anfiteatro 5 de la Facultad de Ciencias Económicas, UNCuyo, Mendoza;MENDOZA;Facultad de Ciencias Económicas, UNCuyo;NO_MATCH;86.0;Sí;Facultad de Ciencias Económicas de la Universidad Nacional de Cuyo (UNCuyo);90.0;No
Día de la Condena Errada;Jornada;Nacional;Derecho;;2025-10-06;2025-10-06;2025;octubre;6;6;lunes 6 de octubre;https://um.edu.ar/noticias/dia-de-la-condena-errada-un-llamado-internacional-a-repensar-la-justicia-penal/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad de Mendoza;Aula Magna Emilio Descotte de la Universidad de Mendoza;Desconocido;Universidad de Mendoza;Univesidad de Mendoza;98.0;No;Universidad de Mendoza;100.0;No
San Clemente celebró sus 161 años reafirmando la unión con Malargüe a través del Paso Pehuenche;Evento Cultural;Local;Cultura;2025-10-13;;;;;;;13 octubre, 2025;https://www.malargue.gov.ar/formacion-practica-en-apicultura-la-planta-apicola-fortalece-el-aprendizaje-de-nuevos-productores/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Malargüe;San Clemente;Desconocido;Municipalidad de Malargüe;Municipalidad de Malargüe;100.0;No;"La Planta Apícola
Área de la Incubadora de Empresas de la Municipalidad de Malargüe";90.0;No
La receta de la abuela;Evento Cultural;Provincial;Gastronomía;2025-09-30;2025-10-18;2025-10-18;2025;octubre;18;18;18 de octubre;https://www.guaymallen.gob.ar/la-receta-de-la-abuela-guaymallen-ya-tiene-su-representante-para-la-final-provincial/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;Polideportivo Municipal de Eugenio Bustos, San Carlos;MENDOZA;No se menciona el nombre de la sede o locación principal en el texto.;NO_MATCH;86.0;Sí;Municipio;90.0;No
Mes del Diseño;Evento Cultural;Local;Arte y diseño;;2025-10-03;2025-10-24;2025;octubre;3;24;3 de octubre, 13 de octubre, 16 de octubre, 24 de octubre;https://um.edu.ar/noticias/octubre-es-diseno-um-celebra-el-mes-del-diseno-con-talleres-desfiles-y-una-jornada-de-materiales/;Académico;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Universidad de Mendoza;Universidad de Mendoza;MENDOZA;"No hay menciones específicas a una sede o locación principal en la página. Sin embargo, se mencionan varias sedes de la Universidad de Mendoza como:

- Mendoza
- San Rafael
- Río Cuarto 

Pero no se menciona un nombre de un teatro, centro cultural, estadio o sala donde se lleven a cabo los eventos.";NO_MATCH;86.0;Sí;Universidad de Mendoza;100.0;No
;Otro tipo de evento;NS/NC;Ns/Nc;;;;2025;Desconocido;Desconocido;Desconocido;;https://www.uda.edu.ar/index.php/archivo-novedades-uda;;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Universidad del Aconcagua;;Desconocido;Teatro Mendoza;NO_MATCH;86.0;Sí;La Universidad del Aconcagua;95.0;No
Semana Estudiantil 2025;Evento Cultural;Local;Cultura;2025-09-26;2025-09-26;2025-09-28;2025;septiembre;26;28;26 de septiembre al 28 de septiembre de 2025;https://www.tunuyan.gov.ar/site/reprogramacion-de-actividades-por-condiciones-climaticas/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Tunuyán;Auditorio Municipal (viernes 26 y domingo 28) y Polideportivo Municipal (sábado 27);TUNUYAN;"- Auditorio Municipal
- Polideportivo Municipal
- Albergue Municipal
- CIC de cada Distrito
- Auditorio Municipal";Polideportivo Municipal;90.0;No;Municipalidad de Tunuyán;100.0;No
MENDOZA FINANCE PREP WORKSHOP;Workshop;Provincial;Economía;2025-09-23;2025-09-23;2025-09-23;2025;Setiembre;23;23;23 de Setiembre de 2025;https://cpcemza.org.ar/C1018_mendoza-finance-prep-workshop;Asociativo;Anual;FERIAS Y EXPOSICIONES;Mendoza;Consejo Profesional de Ciencias Económicas;Bolsa de Comercio de Mendoza Dirección: Sarmiento 199, Mendoza;Desconocido;Bolsa de Comercio de Mendoza;NO_MATCH;86.0;Sí;Consejo Profesional de Ciencias Económicas;100.0;No
El Tribunal de Ética del CPCE Mendoza visitó San Rafael en una jornada de fortalecimiento institucional y profesional;Jornada;Provincial;Derecho;2025-09-10;2025-09-10;2025-09-10;2025;Setiembre;10;10;10 de Setiembre de 2025;https://cpcemza.org.ar/A6132_el-tribunal-de-etica-del-cpce-mendoza-visito-san-rafael-en-una-jornada-de-fortalecimiento-institucional-y-profesional;Asociativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Consejo Profesional de Ciencias Económicas;Delegación San Rafael;MENDOZA;Delegación San Rafael de la Universidad Nacional de Cuyo;NO_MATCH;86.0;Sí;Consejo Profesional de Ciencias Económicas de Mendoza;95.0;No
Primera Jornada de Transición Energética en la UNCUYO;Jornada;Provincial;Energía;2025-09-09;2025-10-01;2025-10-01;2025;octubre;1;1;miércoles 1 de octubre de 2025;https://cpcemza.org.ar/A6129_primera-jornada-de-transicion-energetica-en-la-uncuyo;Asociativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Consejo Profesional de Ciencias Económicas;Anfiteatro 5 de la Facultad de Ciencias Económicas de la UNCUYO;Desconocido;Anfiteatro 5 de la Facultad de Ciencias Económicas de la UNCUYO;NO_MATCH;86.0;Sí;Consejo Profesional de Ciencias Económicas de Mendoza;95.0;No
“La receta de la abuela”: Guaymallén ya tiene su representante para la final provincial;Evento Cultural;Provincial;Gastronomía;2025-09-30;2025-10-18;2025-10-18;2025;octubre;18;18;18 de octubre;https://www.guaymallen.gob.ar/la-receta-de-la-abuela-guaymallen-ya-tiene-su-representante-para-la-final-provincial/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;Polideportivo Municipal de Eugenio Bustos, en San Carlos;Desconocido;No se encuentra información sobre la sede o locación principal del evento en la página.;NO_MATCH;86.0;Sí;Municipio;90.0;No
Octubre Rosa: Guaymallén invita a realizarse los controles que salvan vidas;Jornada;Local;Medicina;2025-09-29;2025-10-19;2025-10-23;2025;octubre;19;23;"Domingo 19/10 – Día de la prevención del cáncer de mama; Lunes 20/10 – Actividades centrales en la Municipalidad; Martes 21/10 – Ciclo de charlas; Miércoles 22/10 – Ciclo de charlas; Jueves 23/10 – Ciclo de charlas";https://www.guaymallen.gob.ar/octubre-rosa-guaymallen-invita-a-realizarse-los-controles-que-salvan-vidas/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;Municipalidad de Guaymallén (hall central y dependencias municipales);GUAYMALLEN;No hay información sobre una sede o localización específica relacionada con un evento en el texto proporcionado.;NO_MATCH;86.0;Sí;MUNICIPIO;90.0;No
VI Ronda Internacional de Negocios;Encuentro;Nacional;Alimentos;;2025-11-06;2025-11-06;2025;noviembre;6;6;6 de noviembre;https://femza.org.ar/actividades/;Corporativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Federación Económica Mendoza;Espacio Arizu – Belgrano 1322, Godoy Cruz;GODOY CRUZ;"Espacio Arizu 
Portal Plaza Suite 
La Enoteca";La Enoteca;90.0;No;Federación Económica de Mendoza (FEM);95.0;No
Feria del Libro;Feria;Local;Literatura;2025-09-25;2025-09-25;2025-10-05;2025;septiembre;25;5;del jueves 25 de septiembre al domingo 5 de octubre;https://www.elsol.com.ar/mendoza/empezo-la-feria-del-libro-en-el-le-parc-libros-desde-2-000-y-muchas-actividades-durante-once-dias/;Asociativo;Anual;FERIAS Y EXPOSICIONES;Mendoza;NO_MATCH;Espacio Cultural Julio Le Parc;GUAYMALLEN;Le Parc;Espacio Cultural Julio Le Parc;90.0;No;Diario El Sol Mendoza;86.0;Sí
Fiesta de las Colectividades 2025;Encuentro;Local;Cultura;2025-09-23;2025-10-10;2025-10-12;2025;octubre;10;12;del 10 al 12 de octubre;https://www.guaymallen.gob.ar/se-abre-la-convocatoria-para-participar-de-la-fiesta-de-las-colectividades-2025/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Municipalidad de Guaymallén;Boulevard Dorrego;Desconocido;No hay ninguna mención a una sede o locación principal en el texto.;NO_MATCH;86.0;Sí;Guaymallén;90.0;No
Encuentro Anual de Red y Fortalecimiento Institucional y Gubernamental;Encuentro;Provincial;Derecho;2025-09-22;;;2025;septiembre;;;viernes pasado;https://tupungato.gov.ar/?p=49375;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Municipalidad de Tupungato;Hotel Turismo Tupungato;Desconocido;Hotel Turismo Tupungato;Hotel de Turismo de Tupungato;95.0;No;Municipalidad de Tupungato;100.0;No
Se viene otra edición de la fiesta de “La Primavera” en Guaymallén;Evento Cultural;Local;Cultura;2025-09-25;2025-09-28;2025-09-28;2025;septiembre;28;28;28 de septiembre;https://www.guaymallen.gob.ar/se-viene-otra-edicion-de-la-fiesta-de-la-primavera-en-guaymallen-2/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;intersección de Godofredo Paladini y Benjamín Argumedo, distrito La Primavera;Desconocido;Guaymallén - Guaymallén;NO_MATCH;86.0;Sí;MUNICIPIO;90.0;No
Media Maratón del IUSP;Evento Deportivo Nacional;Provincial;Maratón;2025-09-19;2025-10-19;2025-10-19;2025;octubre;19;19;domingo 19 de octubre;https://www.mendovoz.com/deportes/polideportivo/2025/9/19/llega-la-cuarta-edicion-de-la-media-maraton-del-iusp-en-guaymallen-161691.html;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;NO_MATCH;Predio de la Virgen, en Guaymallén;Desconocido;Predio de la Virgen;NO_MATCH;86.0;Sí;IUSP.;68.0;Sí
Mercado de Ideas;Feria;Provincial;Economía;2025-09-30;2025-10-07;2025-10-07;2025;octubre;7;7;7 de octubre, de 9 a 13;https://www.godoycruz.gob.ar/segunda-edicion-del-mercado-ideas/;Gubernamental;Anual;FERIAS Y EXPOSICIONES;Mendoza;Gobierno de Mendoza;Aula Magna de la Universidad Católica Argentina, Uruguay 750;GODOY CRUZ;Aula Magna de la Universidad Católica Argentina;NO_MATCH;86.0;Sí;Dirección de Economía Social del Gobierno de Mendoza;90.0;No
Que vuelvan los lentos;Evento Cultural;Local;Entretenimiento;2025-09-29;2025-09-29;2025-09-29;2025;septiembre;29;29;septiembre 29, 2025;https://www.godoycruz.gob.ar/godoy-cruz-celebro-la-primavera-vuelvan-los-lentos/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Godoy Cruz;Espacio Verde Luis Menotti Pescarmona;MENDOZA;Espacio Verde Luis Menotti Pescarmona;Espacio Verde Luis Menotti Pescarmona;100.0;No;Municipalidad de Godoy Cruz;100.0;No
Maratón Territorio Yacopini;Evento Deportivo Nacional;Provincial;Maratón;2025-09-28;2025-09-28;2025-09-28;2025;septiembre;28;28;septiembre 28, 2025;https://www.godoycruz.gob.ar/intendente-se-sumo-la-nueva-edicion-la-maraton-territorio-yacopini/;Corporativo;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Godoy Cruz;Concesionario Territorio Yacopini, ubicado en San Martín Sur 600;MENDOZA;Concesionario Territorio Yacopini, ubicado en San Martín Sur 600.;NO_MATCH;86.0;Sí;Godoy Cruz;90.0;No
La renovada plaza Biritos sumó mejoras en el espacio canino;Jornada;Local;Gobierno/Sindical;2025-09-27;2025-09-27;2025-09-27;2025;septiembre;27;27;27 de septiembre de 2025;https://www.godoycruz.gob.ar/la-plaza-biritos-sumo-un-renovado-espacio-canino/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Municipalidad de Godoy Cruz;Plaza Biritos, Godoy Cruz;MENDOZA;Plaza Biritos;NO_MATCH;86.0;Sí;Municipalidad de Godoy Cruz.;100.0;No
Feria Anual de Información Laboral y Educativa;Feria;Local;Educación;2025-09-26;2025-09-26;2025-09-26;2025;septiembre;26;26;Este viernes 26, septiembre 26, 2025;https://www.godoycruz.gob.ar/mas-mil-jovenes-participaron-la-feria-laboral-educativa-espacio-arizu/;Gubernamental;Anual;FERIAS Y EXPOSICIONES;Mendoza;Municipalidad de Godoy Cruz;Espacio Arizu;GODOY CRUZ;Espacio Arizu;Espacio Arizu;100.0;No;Municipalidad de Godoy Cruz;100.0;No
AMEGAM 2025;Evento Cultural;Local;Gastronomía;2025-09-25;2025-09-26;2025-09-28;2025;septiembre;26;28;del viernes 26 al domingo 28;https://www.godoycruz.gob.ar/parque-san-vicente-se-prepara-tres-dias-festival-llega-amegam-2025/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Godoy Cruz;Parque San Vicente;GODOY CRUZ;Parque San Vicente;Parque San Vicente Godoy Cruz;90.0;No;"Municipalidad de Godoy Cruz
Asociación Mendocina de Gastronomía Móvil";90.0;No
Festival Amegam 2025;Evento Cultural;Local;Gastronomía;2025-09-25;2025-09-26;2025-09-28;2025;septiembre;26;28;viernes 26 de septiembre al domingo 28 de septiembre de 2025;https://www.mendovoz.com/godoy-cruz/la-comuna/2025/9/25/el-parque-san-vicente-se-prepara-para-recibir-al-festival-amegam-2025-161970.html;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;NO_MATCH;Parque San Vicente;Desconocido;Parque San Vicente;Parque San Vicente Godoy Cruz;90.0;No;"Ninguna entidad organizadora principal se menciona en el texto. Sin embargo, se menciona el ""Parque San Vicente"", que es el lugar donde se realizará el evento, pero no se menciona a la organizadora principal.";86.0;Sí
Más de 130 alumnos celebraron la primavera inclusiva con juegos y un gran picnic;Jornada;Local;Entretenimiento, parques y atracciones;2025-09-25;2025-09-25;2025-09-25;2025;septiembre;25;25;en la mañana de este jueves;https://www.godoycruz.gob.ar/juegos-diversion-picnic-celebrar-la-primavera-inclusiva/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Municipalidad de Godoy Cruz;Parque Margarita Malharro de Torres;Desconocido;Parque Margarita Malharro de Torres;NO_MATCH;86.0;Sí;La Municipalidad de Godoy Cruz.;95.0;No
La receta de la abuela;Evento Cultural;Provincial;Gastronomía;2025-09-30;2025-10-18;2025-10-18;2025;octubre;18;18;18 de octubre;https://www.guaymallen.gob.ar/la-receta-de-la-abuela-guaymallen-ya-tiene-su-representante-para-la-final-provincial/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;Polideportivo Municipal de Eugenio Bustos, en San Carlos;MENDOZA;No hay suficiente información en la página para extraer el nombre de la sede o locación principal. La página solo parece ser una página de inicio de una municipalidad, con enlaces a diferentes secciones, pero no menciona un evento en particular.;NO_MATCH;86.0;Sí;Municipio;90.0;No
Semana Estudiantil 2025;Evento Cultural;Local;Cultura;2025-09-26;2025-09-26;2025-09-28;2025;septiembre;26;28;Viernes 26 de septiembre, Sábado 27 de septiembre, Domingo 28 de septiembre;https://www.tunuyan.gov.ar/site/reprogramacion-de-actividades-por-condiciones-climaticas/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Tunuyán;"Auditorio Municipal; Polideportivo Municipal";TUNUYAN;Auditorio Municipal.;Auditorio Municipal De Tunuyan;90.0;No;Municipalidad de Tunuyán;100.0;No
Feria del Libro de Mendoza 2025;Feria;Nacional - Regional (Cuyo);Literatura;2025-09-25;2025-09-25;2025-10-05;2025;septiembre;25;5;25 de septiembre al 5 de octubre;https://www.elsol.com.ar/mendoza/empezo-la-feria-del-libro-en-el-le-parc-libros-desde-2-000-y-muchas-actividades-durante-once-dias/;Asociativo;Anual;FERIAS Y EXPOSICIONES;Mendoza;NO_MATCH;Espacio Cultural Julio Le Parc;GUAYMALLEN;Le Parc;Espacio Cultural Julio Le Parc;90.0;No;El Sol;86.0;Sí
1° Encuentro Federal de Urban Sketchers Argentina;Encuentro;Nacional;Arte y diseño;2025-09-25;2025-09-26;2025-09-28;2025;septiembre;26;28;del 26 al 28 de septiembre;https://www.elsol.com.ar/cultura/capital-sera-sede-del-1-encuentro-federal-de-urban-sketchers-argentina/;Asociativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Museo Municipal de Arte Moderno de Mendoza, Plaza Independencia;MENDOZA;Museo Municipal de Arte Moderno de Mendoza, en la Plaza Independencia.;Plaza Independencia;90.0;No;Urban Sketchers Argentina;86.0;Sí
Día de la Condena Errada;Jornada;Nacional;Derecho;2025-10-06;2025-10-06;2025-10-06;2025;octubre;6;6;6 de octubre;https://um.edu.ar/noticias/dia-de-la-condena-errada-un-llamado-internacional-a-repensar-la-justicia-penal/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad de Mendoza;Aula Magna Emilio Descotte de la Universidad de Mendoza;Desconocido;Universidad de Mendoza;Univesidad de Mendoza;98.0;No;Universidad de Mendoza;100.0;No
Mes del Diseño;Evento Cultural;Nacional - Regional (Cuyo);Arte y diseño;2025-10-01;2025-10-01;2025-10-31;2025;octubre;1;31;durante todo octubre;https://um.edu.ar/noticias/octubre-es-diseno-um-celebra-el-mes-del-diseno-con-talleres-desfiles-y-una-jornada-de-materiales/;Académico;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Universidad de Mendoza;Universidad de Mendoza;MENDOZA;Universidad de Mendoza;Univesidad de Mendoza;98.0;No;Universidad de Mendoza;100.0;No
XXXII Jornadas Nacionales de la Red Universitaria de Educación Especial (RUEDES) y las XXVI Jornadas Nacionales de la Red de Estudiantes de Cátedras y Carreras de Educación Especial (RECCEE);Jornada;Nacional - Regional (Cuyo);Educación;2025-09-25;2025-09-25;2025-09-26;2025;septiembre;25;26;jueves 25 y viernes 26 de septiembre;https://www.uncuyo.edu.ar/prensa/comenzaron-en-la-uncuyo-las-jornadas-nacionales-de-educacion-especial;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Facultad de Educación de la Universidad Nacional de Cuyo (UNCUYO);Desconocido;Centro Universitario;NO_MATCH;86.0;Sí;Red Universitaria de Educación Especial (RUEDES);86.0;Sí
